ROBUST STOCK RECALCULATION V2 - RESULTS
==========================================
Executed at: 2026-01-08 16:34:16
Cutoff Date: 2025-12-31

Products Processed: 993
Products Updated: 412
Records Created: 260
Records Updated: 0
Records Deleted: 16839
Errors: 0

STOCK CHANGES:
Product 572: 10 => 9 (-1) [Opname: 9, Tx: 0]
Product 576: 0 => 1 (+1) [Opname: 1, Tx: 0]
Product 578: 0 => 70 (+70) [Opname: 70, Tx: 0]
Product 581: 0 => 50 (+50) [Opname: 50, Tx: 0]
Product 584: 210 => 200 (-10) [Opname: 200, Tx: 0]
Product 586: 200 => 130 (-70) [Opname: 130, Tx: 0]
Product 593: 0 => 40 (+40) [Opname: 40, Tx: 0]
Product 596: 8 => 7 (-1) [Opname: 7, Tx: 0]
Product 597: 6 => 0 (-6) [Opname: 1, Tx: 1]
Product 598: 9 => 16 (+7) [Opname: 18, Tx: 2]
Product 599: 11 => 9 (-2) [Opname: 9, Tx: 0]
Product 600: 9 => 4 (-5) [Opname: 5, Tx: 1]
Product 601: 5 => 4 (-1) [Opname: 4, Tx: 0]
Product 602: 13 => 8 (-5) [Opname: 8, Tx: 0]
Product 605: 5 => 4 (-1) [Opname: 5, Tx: 1]
Product 607: 30 => 0 (-30) [Opname: 0, Tx: 0]
Product 608: 370 => 120 (-250) [Opname: 130, Tx: 1]
Product 609: 131 => 60 (-71) [Opname: 70, Tx: 1]
Product 610: 110 => 90 (-20) [Opname: 90, Tx: 0]
Product 611: 60 => 50 (-10) [Opname: 50, Tx: 0]
Product 612: 360 => 280 (-80) [Opname: 290, Tx: 1]
Product 614: 90 => 70 (-20) [Opname: 70, Tx: 0]
Product 615: 110 => 80 (-30) [Opname: 80, Tx: 0]
Product 616: 40 => 80 (+40) [Opname: 80, Tx: 0]
Product 618: 210 => 130 (-80) [Opname: 130, Tx: 0]
Product 619: 360 => 180 (-180) [Opname: 190, Tx: 1]
Product 620: 0 => 30 (+30) [Opname: 40, Tx: 1]
Product 623: 270 => 160 (-110) [Opname: 160, Tx: 0]
Product 624: 32 => 15 (-17) [Opname: 15, Tx: 0]
Product 625: 18 => 11 (-7) [Opname: 12, Tx: 1]
Product 628: 7 => 8 (+1) [Opname: 8, Tx: 0]
Product 629: 7 => 6 (-1) [Opname: 7, Tx: 1]
Product 634: 1790 => 1970 (+180) [Opname: 1000, Tx: 3]
Product 635: 44 => 116 (+72) [Opname: 117, Tx: 1]
Product 639: 23 => 13 (-10) [Opname: 14, Tx: 1]
Product 640: 3 => 2 (-1) [Opname: 2, Tx: 0]
Product 649: 24 => 22 (-2) [Opname: 22, Tx: 0]
Product 656: 23 => 22 (-1) [Opname: 16, Tx: 1]
Product 657: 40 => 15 (-25) [Opname: 16, Tx: 1]
Product 663: 106 => 103 (-3) [Opname: 103, Tx: 0]
Product 664: 0 => 70 (+70) [Opname: 70, Tx: 0]
Product 666: 11 => 4 (-7) [Opname: 8, Tx: 2]
Product 669: 0 => 60 (+60) [Opname: 60, Tx: 0]
Product 674: 19 => 1 (-18) [Opname: 1, Tx: 0]
Product 676: 76 => 54 (-22) [Opname: 20, Tx: 3]
Product 677: 139 => 100 (-39) [Opname: 100, Tx: 0]
Product 689: 410 => 170 (-240) [Opname: 200, Tx: 2]
Product 692: 470 => 390 (-80) [Opname: 390, Tx: 0]
Product 693: 4 => 3 (-1) [Opname: 3, Tx: 0]
Product 694: 570 => 310 (-260) [Opname: 310, Tx: 0]
Product 695: 570 => 600 (+30) [Opname: 300, Tx: 1]
Product 699: 0 => 3 (+3) [Opname: 4, Tx: 1]
Product 701: 6 => 5 (-1) [Opname: 5, Tx: 0]
Product 702: 6 => 5 (-1) [Opname: 5, Tx: 0]
Product 704: 7 => 2 (-5) [Opname: 3, Tx: 1]
Product 705: 0 => 8 (+8) [Opname: 9, Tx: 1]
Product 706: 160 => 140 (-20) [Opname: 140, Tx: 0]
Product 708: 15 => 10 (-5) [Opname: 10, Tx: 0]
Product 709: 0 => 4 (+4) [Opname: 4, Tx: 0]
Product 710: 5 => 1 (-4) [Opname: 2, Tx: 1]
Product 711: 7 => 0 (-7) [Opname: 1, Tx: 1]
Product 712: 5 => 4 (-1) [Opname: 5, Tx: 1]
Product 715: 53 => 41 (-12) [Opname: 41, Tx: 0]
Product 717: 1430 => 430 (-1000) [Opname: 430, Tx: 0]
Product 718: 0 => 100 (+100) [Opname: 100, Tx: 0]
Product 723: 32 => 22 (-10) [Opname: 23, Tx: 1]
Product 724: 20 => 0 (-20) [Opname: 1, Tx: 1]
Product 727: 9 => 6 (-3) [Opname: 3, Tx: 1]
Product 728: 20 => 9 (-11) [Opname: 10, Tx: 1]
Product 729: 49 => 40 (-9) [Opname: 40, Tx: 0]
Product 741: 130 => 70 (-60) [Opname: 80, Tx: 1]
Product 745: 9 => 6 (-3) [Opname: 6, Tx: 0]
Product 746: 26 => 9 (-17) [Opname: 8, Tx: 3]
Product 755: 1610 => 930 (-680) [Opname: 760, Tx: 4]
Product 756: 1110 => 630 (-480) [Opname: 640, Tx: 1]
Product 757: 540 => 410 (-130) [Opname: 420, Tx: 1]
Product 764: 160 => 140 (-20) [Opname: 140, Tx: 0]
Product 765: 3 => 4 (+1) [Opname: 4, Tx: 0]
Product 767: 180 => 150 (-30) [Opname: 150, Tx: 0]
Product 774: 17 => 14 (-3) [Opname: 14, Tx: 0]
Product 775: 1 => 2 (+1) [Opname: 3, Tx: 1]
Product 776: 170 => 140 (-30) [Opname: 150, Tx: 1]
Product 778: 43 => 24 (-19) [Opname: 6, Tx: 2]
Product 784: 2 => 1 (-1) [Opname: 1, Tx: 0]
Product 785: 17 => 11 (-6) [Opname: 13, Tx: 2]
Product 786: 8 => 7 (-1) [Opname: 7, Tx: 0]
Product 788: 3 => 2 (-1) [Opname: 2, Tx: 0]
Product 795: 1390 => 550 (-840) [Opname: 550, Tx: 0]
Product 796: 219 => 90 (-129) [Opname: 100, Tx: 1]
Product 800: 4 => 3 (-1) [Opname: 3, Tx: 0]
Product 803: 2 => 3 (+1) [Opname: 3, Tx: 0]
Product 804: 1 => 2 (+1) [Opname: 2, Tx: 0]
Product 805: 27 => 25 (-2) [Opname: 25, Tx: 0]
Product 808: 133 => 47 (-86) [Opname: 47, Tx: 0]
Product 809: 22 => 20 (-2) [Opname: 20, Tx: 0]
Product 813: 0 => 2 (+2) [Opname: 2, Tx: 0]
